World War I African American Soldiers: North Carolina: 317 Units						#5	#6																																																																															
FILE	#1	#1	#2	#3	#4	OVERSEAS SERVICE DATES		#7																																																																														
Number	Last	First	City	Date	LAST UNIT	From 	To	Discharge Date																																																																														
WW-I-Card_World-War-I-Service-Card-3-g_08307.txt	King	Thomas	Faison	4/27/1918	Co A 350 MG Bn	6/10/1918	3/6/1919	3/20/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-o_20692.txt	Simmons	Robert	Faison	4/27/1918	Co I 365 Inf	6/10/1918	2/24/1919	3/12/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-b_01667.txt	Stephens	Willie	Faison	7/29/1918	Students Army Tng C Tuskegee Inst Ala		Death	1/10/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-h_11131.txt	Williams	John D	Faison	6/20/1918	Co E 801 Pion Inf	9/8/1918	2/28/1919	3/18/1919																																																																														
WW-I-Card_World-War-I-Service-Card-l_15552.txt	Council	John	Farmsville	4/27/1918	Co E 366 Inf			1/24/1919																																																																														
WW-I-Card_World-War-I-Service-Card-g_08458.txt	Brooks	James	Farmville	4/1/1918	Co D 365 Inf	6/10/1918	2/24/1919	3/13/1919																																																																														
WW-I-Card_World-War-I-Service-Card-g_08796.txt	Brown	George	Farmville	4/27/1918	161 Dep Brig			11/14/1918 SCD																																																																														
WW-I-Card_World-War-I-Service-Card-k_13717.txt	Clemons	William	Farmville	4/1/1918	Co 12 161 Dep Brig			6/6/1918 SCD																																																																														
WW-I-Card_World-War-I-Service-Card-k_14113.txt	Cockfield	Herbert	Farmville	4/1/1918	Co C 323 Srv Bn	7/9/1918	7/4/1919	7/17/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-f_07260.txt	Joyner	Raymond	Farmville	4/27/1918	152 Dep Brig			11/18/1918 SCD																																																																														
WW-I-Card_World-War-I-Service-Card-3-f_07204.txt	Joyner	Exum	Farmville	4/27/1918	Co H 366 Inf	6/15/1918	2/28/1919	3/19/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-f_07258.txt	Joyner	Peter	Farmville	6/20/1918	CO B 532 Engrs	8/22/1918	5/28/1919	6/13/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-c_04014.tif	Mathewson	Moses	Farmville	4/1/1918	Co D 365 Inf	6/10/1918	2/24/1919	3/13/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-e_06311.txt	Tyson	Marvin	Farmville	4/1/1918	Co D 365 Inf	6/10/1918	2/24/1919	3/13/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-e_06289.txt	Tyson	George	Farmville	12/11/1917	Hq Co 372 Inf	4/7/1918	5/10/1919	5/20/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-e_06834.txt	Vines	Charles	Farmville	4/1/1918	Co F 317 Sup Tn	6/10/1918	2/28/1919	3/15/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-i_12591.txt	Witherspoon	Charles	Farmville	4/1/1918	Co D 365 Inf	6/10/1918	2/24/1919	3/13/1919																																																																														
WW-I-Card_World-War-I-Service-Card-a_00173.txt	Adams	Henry	Fayetteville	7/16/1918	153 Dep Brig	8/22/1918	2/9/1919	3/6/1919																																																																														
WW-I-Card_World-War-I-Service-Card-a_00517.txt	Alexander	Henry	Fayetteville	6/21/1918	4 Co Dev Bn 1 Camp Zachary Taylor KY			8/24/1918 SCD																																																																														
WW-I-Card_World-War-I-Service-Card-d_04535.txt	Beatty	James	Fayetteville	7/16/1918	Dep Co K 370 Inf	8/22/1918	2/9/1919	3/4/1919																																																																														
WW-I-Card_World-War-I-Service-Card-e_06382.txt	Bogans	Alexander	Fayetteville	6/21/1918	Co D 532 Engr Serv Bn	8/22/1918	6/13/1919	7/21/1919																																																																														
WW-I-Card_World-War-I-Service-Card-e_06628.txt	Boone	David	Fayetteville	12/4/1917	Co L 371 Inf	4/9/1918	2/11/1919	2/28/1919																																																																														
WW-I-Card_World-War-I-Service-Card-f_07068.txt	Bowman	Willie	Fayetteville	6/21/1918	4 Co Dev Bn 1 Camp Taylor KY			8/24/1918 SCD																																																																														
WW-I-Card_World-War-I-Service-Card-h_10331.txt	Burns	Andrew	Fayetteville	6/21/1918	Co C 532 Engrs Serv Bn			12/7/1918 SCD																																																																														
WW-I-Card_World-War-I-Service-Card-m_16817.txt	Culbreth	Lonaus	Fayetteville	8/24/1918	Co D 355 Labor Bn	11/12/1918	7/23/1919	7/24/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-b_02497.txt	Dudley	Hardy	Fayetteville	12/14/1917	Co E 371 Inf	4/7/1918	2/11/1919	2/28/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-d_04412.txt	Evans 	Clarence	Fayetteville	3/30/1918	Co E 365 Inf	6/10/1918	2/24/1919	3/12/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-d_04982.tif	Farmer	Roby	Fayetteville	4/29/1918	Btry A 350 FA	8/22/1918	2/28/1919	3/15/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-d_05056.txt	Farris	Leon	Fayetteville	7/19/1918	811 Pion Inf	10/20/1918	7/13/1919	7/19/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-f_06901.txt	Freeman	Edmund	Fayetteville	6/21/1918	Co A 801 Pion Inf	9/7/1918	6/5/1919	6/13/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-i_10576.txt	Groom	John	Fayetteville	12/14/1917	Co E 371 Inf			1/10/1918 SCD																																																																														
WW-I-Card_World-War-I-Service-Card-2-k_13274.txt	Hastler	Edward	Fayetteville	7/16/1918	Co B 370 Inf	8/22/1918	2/9/1919	2/27/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-a_00859.tif	Hills	Jim	Fayetteville	11/13/1917	814 Co TC	12/26/1917	7/16/1919	7/22/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-e_05631.txt	Johnson	Levi	Fayetteville	12/14/1917	Co E 371 Inf	4/9/1918	2/12/1919	2/28/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-h_09627.txt	Lawrence	James	Fayetteville	7/16/1918	Co K 370 Inf	8/22/1918	2/9/1919	3/6/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-a_00620.txt	McClaurin	Theoms	Fayetteville	7/29/1918	Co G Dev Bn 2 Cp Humphreys VA			1/9/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-b_01706.txt	McKethan	Barney	Fayetteville	4/27/1918	152 Dep Brig			1/1/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-b_01945.txt	McLaurin	Charles	Fayetteville	5/17/1918	29 Cons Co			12/23/1918																																																																														
WW-I-Card_World-War-I-Service-Card-4-b_01962.txt	McLaurin	John	Fayetteville	9/21/1917	Co B 308 Serv Bn QMC	3/30/1918	7/18/1919	7/22/1919 to reenlist																																																																														
WW-I-Card_World-War-I-Service-Card-4-b_02335.txt	McNair	Arthur	Fayetteville	7/16/1918	Co A 811 Pion Inf	10/19/1918	5/17/1919	6/29/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-b_02440.tif	McNeill	Bennie	Fayetteville	6/21/1918	Co K 369 Inf	8/21/1918	2/9/1919	2/27/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-b_02483.txt	McNeill	James	Fayetteville	7/16/1918	Co D 542 Engrs	9/22/1918	7/5/1919	7/18/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-d_05343.txt	Miller	Willie	Fayetteville	4/27/1918	Co M 366 Inf	6/15/1918	2/28/1919	3/19/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-h_10847.txt	Patterson	Clifton	Fayetteville	6/21/1918	Co D 442 Res Labor Bn			5/3/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-h_11128.txt	Pearce	Augustus	Fayetteville	8/24/1918	Co K 811 Pion Inf	10/20/1918	6/28/1919	7/4/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-j_13343.txt	Pough	Pellam	Fayetteville	12/14/1917	Co E 371 Inf	4/9/1918	2/22/1919	3/6/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-k_14454.txt	Raeford	James	Fayetteville	12/14/1917	Co E 371 Inf	4/9/1918	2/12/1919	2/28/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-b_02515.txt	Strong	Johnie	Fayetteville	1/11/1918	Sup Co 371 Inf	4/9/1918	2/11/1919	2/28/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-f_07965.txt	Warren	Evander	Fayetteville	10/3/1917	Co B 317 MG Bn	7/31/1918	6/19/1919	7/1/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-h_10739.txt	Williams	Charles H. Jr	Fayetteville	12/14/1917	MG Co 371 Inf			12/31/1918																																																																														
WW-I-Card_World-War-I-Service-Card-5-h_10836.txt	Williams	Edward	Fayetteville	10/18/1918	Students Army Tng C Negro Agricultural & Technical College Greensboro			12/12/1918																																																																														
WW-I-Card_World-War-I-Service-Card-5-i_11551.txt	Williams	Willie	Fayetteville	12/14/1917	Co E 371 Inf			1/24/1918 SCD																																																																														
WW-I-Card_World-War-I-Service-Card-5-h_11111.txt	Williams	John	Fayetteville	6/12/1918	Co C 802 Pion Inf	9/1/1918	7/9/1919	7/19/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-i_11815.txt	Williston	Frank Douglas	Fayetteville	10/26/1918	Student Army Tng Corps Biddle University Charlotte 			12/7/1918																																																																														
WW-I-Card_World-War-I-Service-Card-5-j_13436.txt	Wright	Thomas	Fayetteville	7/17/1918	Co K 807 Pion Inf	9/4/1918	7/3/1919	7/16/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-j_13332.txt	Wright	Ezekiel	Fayetteville	11/1/1917	Co A 312 Serv Bn	3/29/1918	6/19/1919	6/29/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-f_08287.txt	Watlington	Albert	Fitch	7/18/1918	Co B 545 Engrs Serv Bn	9/22/1918	6/27/1919	7/12/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-k_13777.txt	Hazel	Ned	Fletcher	7/18/1918	859 TC	8/26/1918	7/31/1919	8/6/1919																																																																														
WW-I-Card_World-War-I-Service-Card-e_06112.txt	Blanton	Ed	Fletchers	8/22/1918	Vet Hosp 4 Camp Upton NY	9/29/1918	6/18/1919	7/2/1919																																																																														
WW-I-Card_World-War-I-Service-Card-k_14485.txt	Collington	Sam	Fletchers	1/25/1918	Tr M 10 Cav			5/9/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-e_06964.txt	Wade	John Henry	Folkstone	3/29/1918	Co H 365 Inf	6/10/1918	2/24/1919	3/11/1919																																																																														
WW-I-Card_World-War-I-Service-Card-b_01677.txt	Ardery	Will	Fort Mill	3/29/1918	Co C 350 MG Bn	6/10/1918	3/6/1919	3/20/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-e_06485.txt	Moore	June	Fountain	4/1/1918	Co D 365 Inf	6/10/1918	2/24/1919	3/13/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-j_13146.txt	Wooten	Roscoe	Fountain	4/1/1918	Co D 365 Inf	6/10/1918	2/24/1919	3/13/1919																																																																														
WW-I-Card_World-War-I-Service-Card-e_05422.txt	Bibby	Willie Arthur	Franklin	4/30/1918	Co A 317 Am Tn	8/22/1918	2/28/1919	3/15/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-h_10481.txt	Levister	Chester	Franklin	7/17/1918	Co A 807 Pion Inf	9/4/1918	7/3/1919	7/16/1919																																																																														
WW-I-Card_World-War-I-Service-Card-a_00813.txt	Allen	Luther	Franklinton	1/24/1917	Sup Tr 10 Cav			11/9/1919 to reenlist																																																																														
WW-I-Card_World-War-I-Service-Card-c_03140.txt	Banks	Henry	Franklinton	5/2/1918	36 Cons Co AS Sig C			12/23/1918																																																																														
WW-I-Card_World-War-I-Service-Card-g_08367.txt	Brodie	Lee	Franklinton	6/21/1918	Co C 532 Engrs	10/21/1918	7/18/1919	7/22/1919																																																																														
WW-I-Card_World-War-I-Service-Card-l_14849.txt	Conway	Richard	Franklinton	7/24/1917	1104 Aer Repl Sq	3/4/1918	6/27/1919	7/15/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-g_08272.tif	King	Max Constuart	Franklinton	5/14/1918	MC	6/15/1918	2/11/1919	3/11/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-f_08150.txt	Neal	James Elmo	Franklinton	4/2/1918	Hq Co 365 Inf	7/10/1918	2/24/1919	3/13/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-i_11891.txt	Person	Benjamin Harrison	Franklinton	6/21/1918	Hq Co 801 Pion Inf	9/8/1918	6/5/1919	6/13/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-d_04281.txt	Tharrington	Robert Lee	Franklinton	10/15/1918	Students Army Tng C Negro Agricultural & Technical College Greensboro			12/11/1918																																																																														
WW-I-Card_World-War-I-Service-Card-4-n_18458.txt	Sanders 	Pleasant	Freeman	7/16/1918	Co C 370 Inf	8/18/1918	2/9/1919	2/24/1919																																																																														
WW-I-Card_World-War-I-Service-Card-b_02383.txt	Aycock	Jesse Thomas	Fremont	4/27/1918	Co H 365 Inf	6/10/1918	2/24/1919	3/11/1919																																																																														
WW-I-Card_World-War-I-Service-Card-d_04666.txt	Becton	Scott	Fremont	4/27/1918	Co E 365 Inf	6/10/1918	2/24/1919	3/12/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-f_08424.txt	Newkirk	William	Fremont	8/1/1918	Co B 805 Pion Inf	9/24/1918	6/27/1919	7/12/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-g_08503.txt	Newson	Mack Jr	Fremont	4/27/1918	Co K 366 Inf	6/15/1918	2/28/1919	3/19/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-c_03173.txt	Sweat	Jolly	Gale	6/20/1918	Co D 520 Engrs	8/31/1918	6/26/1919	7/11/1919																																																																														
WW-I-Card_World-War-I-Service-Card-b_01383.txt	Anderson	Pete	Garland	6/21/1918	17 Dep Serv Co A SC	8/27/1918	7/6/1919	7/19/1919																																																																														
WW-I-Card_World-War-I-Service-Card-b_02350.txt	Avery	Jessie	Garland	6/21/1918	Co D 532 Engrs	8/27/1918	7/12/1919	7/21/1919																																																																														
WW-I-Card_World-War-I-Service-Card-f_07233.txt	Boykin	George	Garland	6/20/1918	Co A 801 Pion Inf	9/8/1918	6/5/1919	6/13/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-g_09000.txt	Lamb	John Dancy	Garland	6/21/1918	CO B 801 Pion Inf	9/8/1918	6/5/1919	6/13/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-d_05584.txt	Treadwell	Cal Davis	Garland	4/25/1918	Co H 366 Inf	6/13/1918	2/28/1919	3/19/1919																																																																														
WW-I-Card_World-War-I-Service-Card-a_00641.txt	Allen	Alvis	Garner	6/21/1918	Co A 532 Engrs	8/23/1918	7/18/1919	7/24/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-b_02250.txt	Dowd	Tory	Garner	7/17/1918	Co K Dep Co 370 Inf	8/21/1918	2/9/1919	2/25/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-g_08993.txt	Norwood	John	Garner	9/1/1918	Co A 347 Labor Bn	10/21/1918	6/29/1919	7/15/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-i_12274.txt	Phillips	James	Garner	4/27/1918	Co H 365 Inf	6/10/1918	5/7/1919	5/9/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-f_07763.txt	Garner	Richard	Garysburg	4/2/1918	Hq Co 365 Inf	6/10/1918	2/24/1919	3/13/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-f_07861.txt	Garris	EG	Garysburg	4/2/1918	Sup Co 365 Inf	6/10/1918	2/24/1919	3/12/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-j_11889.txt	Harding	Toilet	Garysburg	4/2/1918	365 Inf	6/10/1918	2/24/1919	3/13/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-a_00505.txt	High	Willie	Garysburg	4/2/1918	Hq Co 365 Inf	6/10/1918	2/24/1919	3/13/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-d_04167.txt	Ivey	Cyrus	Garysburg	7/17/1918	153 Dep Brig	8/22/1918	2/9/1919	3/4/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-d_04166.txt	Ivey 	Connie	Garysburg	7/17/1918	Co B 807 Pion Inf	9/4/1918	7/3/1919	7/16/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-c_03858.txt	Mason	Wilmer	Garysburg	4/27/1918	Co L 365 Inf	6/10/1918	2/24/1919	3/12/1919																																																																														
WW-I-Card_World-War-I-Service-Card-e_06561.txt	Bonner	Clarence	Gaston	7/17/1918	Co B 808 Pion Inf	9/4/1918	7/3/1919	7/16/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-c_03359.txt	Humphrey	Howard	Gaston	8/10/1917	CO D 372 Inf	3/30/1918	2/11/1919	3/3/1919																																																																														
WW-I-Card_World-War-I-Service-Card-m_16214.tif	Crawford	Paul	Gastonia	11/16/1917	836 Co TC	12/26/1917	7/2/1919	7/5/1919																																																																														
WW-I-Card_World-War-I-Service-Card-m_16942.txt	Cureton	Ed	Gastonia	5/29/1918	School for Bakers and Cooks Camp Jackson SC			9/4/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-a_00852.txt	Davis	Walter	Gastonia	4/30/1918	Co D 534 Engrs	8/29/1918	7/4/1919	7/23/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-d_04244.txt	Erwin	John	Gastonia	5/24/1918	Co A 534 Engr Serv Bn	8/30/1918	7/4/1919	7/17/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-f_06602.txt	Fox	Leander	Gastonia	4/29/1918	28 Cons Co AS			12/23/1918																																																																														
WW-I-Card_World-War-I-Service-Card-3-h_09608.txt	Lawrence	Cliff	Gastonia	9/1/1918	153 Dep Brig			3/11/1920 GCMO																																																																														
WW-I-Card_World-War-I-Service-Card-4-a_01006.txt	McDaniel	John	Gastonia	7/18/1918	Co K 808 Pion Inf			6/4/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-b_01719.txt	McKinley	Jim	Gastonia	7/18/1918	Co K 808 Pion Inf	8/31/1918	6/22/1919	6/26/1919 immediate re-enlistment																																																																														
WW-I-Card_World-War-I-Service-Card-4-d_05046.txt	Miller	Arthur	Gastonia	7/17/1918	Hq Co 802 Pion Inf	9/1/1918	7/9/1919	7/17/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-h_09918.txt	Pagan	Kelley	Gastonia	1/7/1918	Co C 313 Serv Bn	5/8/1918	6/25/1919	7/10/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-m_17467.txt	Rollins	Joseph Metz	Gastonia	11/2/1918	Student Army Tng Corps Biddle University Charlotte 			12/7/1918																																																																														
WW-I-Card_World-War-I-Service-Card-5-c_03497.txt	Tate	Will	Gastonia	7/18/1918	Co M 808 Pion Inf	8/31/1918	7/3/1919	7/3/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-g_09688.txt	White	Lee	Gastonia	11/26/1917	QMC Co B 313 Serv Bn Camp Alexander VA	3/28/1918	6/25/1919	7/1/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-h_10512.txt	Lewis	Alexander	Gates	4/26/1918	Co M 366 Inf	6/15/1918	2/28/1919	3/19/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-n_18748.txt	Savage	Luther	Gates	4/26/1918	Co C 350 MG Bn	6/10/1918	3/6/1919	3/20/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-h_10833.txt	Williams	Edward	Gates	4/2/1918	Hq Co 365 Inf	6/10/1918	2/24/1919	3/13/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-g_08675.txt	Nickens	William	Gatesville	4/2/1918	MG Co 365 Inf	6/10/1918	2/24/1919	3/11/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-n_18742.txt	Savage	Irving	Gatesville	6/20/1918	Hq 63 Pion Inf			12/18/1918																																																																														
WW-I-Card_World-War-I-Service-Card-5-a_01205.txt	Stallings	Whittier	Gatesville	6/20/1918	Co I 807 Pion Inf	9/4/1918	7/3/1919	7/9/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-p_21824.txt	Smith	James	George	7/17/1918	Dep Co K 370 Inf	8/22/1918	2/9/1919	3/6/1919																																																																														
WW-I-Card_World-War-I-Service-Card-b_02650.txt	Bailey	Walter	Germanton	3/29/1918	Co L 365 Inf	6/10/1918	2/24/1919	3/23/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-c_03879.txt	Ikenberger	Rufus	Gibson	12/20/1917	Co L 371 Inf	4/9/1918	2/11/1919	2/28/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-d_04280.txt	Jackson	Elmore	Gibson	2/25/1918	Co E 371 Inf			12/30/1918																																																																														
WW-I-Card_World-War-I-Service-Card-3-d_04428.txt	Jackson	Thomas	Gibson	10/29/1917	Co A 351 MG Bn	6/9/1918	3/22/1919	4/8/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-c_03346.txt	Marmont	John	Gibson	6/19/1918	156 Dep Brig			12/31/1918																																																																														
WW-I-Card_World-War-I-Service-Card-4-b_02246.txt	McMillan	Belton	Gibson	6/4/1918	Co C 813 Pion Inf	9/15/1918	7/13/1919	7/21/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-a_00004.txt	Smith	Turner	Gibson	2/25/1918	Co E 371 Inf	4/7/1918	Death	9/2/1918																																																																														
WW-I-Card_World-War-I-Service-Card-4-p_21919.txt	Smith	John	Gibson	12/19/1917	Co C 371 Inf	4/7/1918	3/3/1919	3/22/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-h_09760.txt	Greason	Monroe	Glen Alpine	7/18/1918	Co B 811 Pion Inf	10/20/1918	7/4/1919	7/17/1919																																																																														
WW-I-Card_World-War-I-Service-Card-k_14647.txt	Colvin	Ed	Godwin	3/30/1918	Co E 365 Inf	6/10/1918	2/24/1919	3/12/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-a_01110.txt	McDonald	Neill	Godwin	6/29/1918	10 Engrs Serv Co Camp Alexander VA	7/11/1918	7/11/1919	7/19/1919																																																																														
WW-I-Card_World-War-I-Service-Card-m_16695.txt	Crowell	Schofield	Gold Hill	5/8/1918	Co K 367 Inf	6/10/1918	2/17/1919	3/8/1919																																																																														
WW-I-Card_World-War-I-Service-Card-b_01973.txt	Ashford	Alford	Goldsboro	3/30/1918	Co E 365 Inf	6/10/1918	2/24/1919	3/12/1919																																																																														
WW-I-Card_World-War-I-Service-Card-b_02106.txt	Atkinson	John	Goldsboro	3/30/1918	Co E 365 Inf	6/10/1918	2/24/1919	3/12/1919																																																																														
WW-I-Card_World-War-I-Service-Card-b_02630.txt	Bailey	Rainey	Goldsboro	7/18/1918	Co B 63 Pion Inf			12/13/1918																																																																														
WW-I-Card_World-War-I-Service-Card-d_04117.txt	Battle	Jasper	Goldsboro	6/20/1918	Co D 532 Engr Serv Bn			8/3/1918 SCD																																																																														
WW-I-Card_World-War-I-Service-Card-e_05380.txt	Best	Dock	Goldsboro	7/28/1918	Students Army Tng C Tuskegee Inst Ala			12/4/1918																																																																														
WW-I-Card_World-War-I-Service-Card-f_06859.txt	Bowden	Arthur	Goldsboro	9/29/1917	1 Co 1 Tng Bn 156 Dep Brig	10/18/1918	4/18/1919	5/2/1919																																																																														
WW-I-Card_World-War-I-Service-Card-f_07248.txt	Boykin	Oscar	Goldsboro	7/28/1918	Co A 805 Pion Inf	9/20/1918	6/27/1919	7/12/1919																																																																														
WW-I-Card_World-War-I-Service-Card-f_08017.txt	Bright	Freddy	Goldsboro	3/30/1918	Co E 365 Inf	6/10/1918	2/24/1919	3/12/1919																																																																														
WW-I-Card_World-War-I-Service-Card-h_09425.txt	Bryant	Irvin	Goldsboro	4/27/1918	Co H 365 Inf	6/10/1918	Death	1/25/1919																																																																														
WW-I-Card_World-War-I-Service-Card-i_11801.txt	Carr	Henry	Goldsboro	2/26/1915	Tr F 9 Cav			6/24/1919 to reenlist																																																																														
WW-I-Card_World-War-I-Service-Card-i_11935.txt	Carroll	William	Goldsboro	4/27/1918	Co K 365 Inf	6/10/1918	2/24/1919	3/11/1919																																																																														
WW-I-Card_World-War-I-Service-Card-i_11926.txt	Carroll	Sidney	Goldsboro	4/27/1918	Co E 366 Inf	6/14/1918	2/28/1919	3/19/1919																																																																														
WW-I-Card_World-War-I-Service-Card-j_12891.txt	Chatmon	Stephen	Goldsboro	4/27/1918	Co C 317 Engrs	6/10/1918	3/6/1919	3/20/1919																																																																														
WW-I-Card_World-War-I-Service-Card-k_14509.txt	Collins	Eulas	Goldsboro	7/8/1918	32 Cons Co Langley Field VA		Death	10/27/1918																																																																														
WW-I-Card_World-War-I-Service-Card-2-b_01836.txt	Dixon	Jesse	Goldsboro	6/22/1918	Co A 801 Pion Inf	9/3/1918	2/12/1919	3/5/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-b_02205.txt	Douglas	Pat	Goldsboro	4/29/1918	317 TM Btry	8/22/1918	2/28/1919	3/15/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-d_04862.txt	Faison	Roland	Goldsboro	9/24/1917	Co E 301 Steve Regt	1/13/1918	7/3/1919	8/15/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-f_07473.txt	Gale	Willie	Goldsboro	6/20/1918	Co C 801 Pion Inf	9/8/1918	6/5/1919	6/13/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-h_09574.txt	Grantham	Walter	Goldsboro	4/27/1918	Co I 365 Inf	6/10/1918	3/21/1919	4/3/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-h_09777.txt	Green	Arthur	Goldsboro	12/14/1917	Med Dept			5/21/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-k_13310.txt	Hatcher	Charles Edward	Goldsboro	4/27/1918	Hq Co 366 Inf	6/15/1918	2/28/1919	3/19/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-e_06543.txt	Jones	John	Goldsboro	12/30/1917	841 Co TC	6/6/1918	7/4/1919	7/17/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-g_09170.txt	Lane	Anthony	Goldsboro	8/1/1918	School for Bakers and Cooks Camp Greene NC			3/8/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-c_03722.txt	Martin	Water	Goldsboro	4/27/1918	Co K 365 Inf	6/10/1918	2/24/1919	3/11/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-d_04672.tif	Melvin	James	Goldsboro	6/20/1918	369 Inf	8/22/1918	2/12/1919	3/10/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-d_04672.txt	Melvin	James	Goldsboro	6/20/1918	369 Inf	8/22/1918	2/12/1919	3/19/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-f_07493.txt	Mountfond	Edward	Goldsboro	4/27/1918	Co C Dev Bn #3 161 Dep Brig			10/4/1918 SCD																																																																														
WW-I-Card_World-War-I-Service-Card-4-k_14404.txt	Quinn	Kenneth	Goldsboro	4/27/1918	Co K 366 Inf	6/15/1918	2/28/1919	3/19/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-k_15243.tif	Reed	Fred	Goldsboro	12/14/1917	Co F 371 Inf	4/15/1918	Death	4/15/1918																																																																														
